experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu
60,7,rble,treat,15,1,1,0,1,0,0
60,8,rvbu,treat,15,1,1,0,0,0,1
61,1,control,con,15,1,1,1,0,0,0
61,2,control,con,15,1,1,0,0,0,0
61,3,control,con,15,1,1,0,0,0,0
61,4,control,con,15,1,1,0,0,0,0
61,5,jawe,treat,15,1,1,1,0,0,0
61,6,rwbu,treat,15,1,1,0,0,0,0
61,7,rble,treat,15,1,1,1,1,0,0
61,8,rvbu,treat,15,1,1,1,0,1,0
62,1,control,con,15,1,1,0,1,0,0
62,2,control,con,15,1,1,1,0,0,0
62,3,control,con,15,1,1,0,0,0,0
62,4,control,con,15,1,1,1,0,0,0
62,5,jawe,treat,15,1,1,1,0,0,0
62,6,rble,treat,15,1,1,1,1,0,0
62,7,rvbu,treat,15,1,1,0,1,0,0
62,8,rwbu,treat,15,1,1,0,0,0,0
63,1,control,con,15,1,1,0,0,0,0
63,2,control,con,15,1,1,0,0,0,0
63,3,control,con,15,1,1,0,0,0,0
63,4,control,con,15,1,1,0,0,0,0
63,5,jawe,treat,15,1,1,1,0,0,0
63,6,rble,treat,15,1,1,0,0,1,0
63,7,rvbu,treat,15,1,1,1,0,1,0
63,8,rwbu,treat,15,1,1,0,0,0,0
64,1,control,con,15,1,1,0,1,0,0
64,2,control,con,15,1,1,0,0,0,0
64,3,control,con,15,1,1,0,0,0,0
64,4,control,con,15,1,1,0,0,0,0
64,5,rwbu,treat,15,1,1,0,0,0,0
64,6,rble,treat,15,1,1,0,0,0,0
64,7,jawe,treat,15,1,1,1,0,0,0
64,8,rvbu,treat,15,1,1,1,0,1,0
65,1,control,con,15,1,1,1,0,1,0
65,2,control,con,15,1,1,0,0,0,1
65,3,control,con,15,1,1,0,0,0,0
65,4,control,con,15,1,1,0,0,0,1
65,5,jawe,treat,15,1,1,0,0,0,0
65,6,rwbu,treat,15,1,1,0,0,0,0
65,7,rble,treat,15,1,1,0,1,0,0
65,8,rvbu,treat,15,1,1,0,0,0,0
66,1,control,con,15,1,0,1,1,0,0
66,2,control,con,15,1,0,0,1,1,0
66,3,control,con,15,1,0,0,0,0,0
66,4,control,con,15,1,0,0,0,0,0
66,5,rble,treat,15,1,0,1,1,0,0
66,6,rvbu,treat,15,1,0,1,0,1,0
66,7,jawe,treat,15,1,0,1,0,0,0
66,8,rwbu,treat,15,1,0,0,0,0,0
